Feature_Set,Fold,Training_End,Testing_Start,Testing_End,MAE,RMSE,MAPE
Price Features,1,2001-04-01,2001-07-01,2006-04-01,5761.579905543945,7171.977607928162,2.9029004031169676
Price Features,2,2006-04-01,2006-07-01,2011-04-01,6481.041833779888,8315.983014932768,2.8264925961900147
Price Features,3,2011-04-01,2011-07-01,2016-04-01,9013.050990794203,11137.891699775864,3.305508901780209
Price Features,4,2016-04-01,2016-07-01,2021-04-01,8589.118913346843,9915.43268193815,2.611637596140346
Price Features,5,2021-04-01,2021-07-01,2026-04-01,8467.250752250719,11099.107538498178,2.0152621863294793
Growth Features,1,2001-04-01,2001-07-01,2006-04-01,5822.60058928022,7134.446556580041,2.9199944995017297
Growth Features,2,2006-04-01,2006-07-01,2011-04-01,7448.867058799167,9091.545522530365,3.259329130831122
Growth Features,3,2011-04-01,2011-07-01,2016-04-01,5805.5182631804755,6937.813455581645,2.1665638646064034
Growth Features,4,2016-04-01,2016-07-01,2021-04-01,7932.960866209609,10540.046697714957,2.4177455451306695
Growth Features,5,2021-04-01,2021-07-01,2026-04-01,12848.891268461395,14383.776928575602,3.0664528750849396
Time Features,1,2001-04-01,2001-07-01,2006-04-01,5870.543316816411,7175.20538771575,2.966820598922825
Time Features,2,2006-04-01,2006-07-01,2011-04-01,6850.14338811746,8587.144452495155,2.991981311384128
Time Features,3,2011-04-01,2011-07-01,2016-04-01,6508.456999885586,7814.343674143678,2.413147136807287
Time Features,4,2016-04-01,2016-07-01,2021-04-01,8297.143837511941,9734.292988832281,2.5353031806484942
Time Features,5,2021-04-01,2021-07-01,2026-04-01,15493.29569075183,17095.321849868338,3.6989353650541767
Seasonal Features,1,2001-04-01,2001-07-01,2006-04-01,5344.973041515894,6742.908905834846,2.6761782156952285
Seasonal Features,2,2006-04-01,2006-07-01,2011-04-01,6990.081860441632,8766.779869425403,3.057793942127244
Seasonal Features,3,2011-04-01,2011-07-01,2016-04-01,6016.702520639168,7238.651553556877,2.251082041518462
Seasonal Features,4,2016-04-01,2016-07-01,2021-04-01,8179.9271591159195,10462.4762828523,2.5088400048342967
Seasonal Features,5,2021-04-01,2021-07-01,2026-04-01,10867.517129018446,13388.577786695307,2.599340088750516
Rolling Features,1,2001-04-01,2001-07-01,2006-04-01,5869.731059507091,7174.904585626647,2.966424616058059
Rolling Features,2,2006-04-01,2006-07-01,2011-04-01,6954.084550655289,8798.714734705423,3.039841012701678
Rolling Features,3,2011-04-01,2011-07-01,2016-04-01,9310.456691999683,11172.222472962387,3.401175417332321
Rolling Features,4,2016-04-01,2016-07-01,2021-04-01,8297.293781477149,9736.057753422483,2.5358369961389693
Rolling Features,5,2021-04-01,2021-07-01,2026-04-01,9504.53462473042,11928.276412490026,2.2726014585079586
Price + Growth,1,2001-04-01,2001-07-01,2006-04-01,5170.00599628018,6772.517999894424,2.5909026528779755
Price + Growth,2,2006-04-01,2006-07-01,2011-04-01,7373.137029346729,9327.303919221627,3.2169187557139587
Price + Growth,3,2011-04-01,2011-07-01,2016-04-01,7744.582392627029,9485.936738136905,2.857950255194173
Price + Growth,4,2016-04-01,2016-07-01,2021-04-01,8394.264341773476,10891.226101867718,2.5499247925381265
Price + Growth,5,2021-04-01,2021-07-01,2026-04-01,9876.717778565046,12498.871987673496,2.3542503219425948
Price + Growth + Time,1,2001-04-01,2001-07-01,2006-04-01,5113.466421119316,6713.224533661229,2.5770386735753243
Price + Growth + Time,2,2006-04-01,2006-07-01,2011-04-01,7901.84978933489,9924.052056809458,3.452563174225852
Price + Growth + Time,3,2011-04-01,2011-07-01,2016-04-01,7848.929467213832,9685.685799069,2.8941341491301795
Price + Growth + Time,4,2016-04-01,2016-07-01,2021-04-01,8131.962717171124,10719.18924162548,2.468848056467418
Price + Growth + Time,5,2021-04-01,2021-07-01,2026-04-01,9875.237250052069,12409.936622362015,2.3549877638935532
All Features,1,2001-04-01,2001-07-01,2006-04-01,5127.3568448805545,6687.9662288067875,2.572516523015699
All Features,2,2006-04-01,2006-07-01,2011-04-01,7839.316045237099,9977.9707806678,3.428632877712609
All Features,3,2011-04-01,2011-07-01,2016-04-01,7747.702673141478,9576.00123551301,2.854118310409905
All Features,4,2016-04-01,2016-07-01,2021-04-01,7769.748942174117,10319.830002084964,2.355844474433951
All Features,5,2021-04-01,2021-07-01,2026-04-01,9890.05129036273,12192.91146486609,2.360107763387938
