Fold,Model,MAE,RMSE,MAPE
1,Random Forest Growth,5127.3568448805545,6687.9662288067875,2.572516523015699
1,HistGradientBoosting Growth,4920.626027382069,6350.734613085041,2.4628879404800137
1,Seasonal Naive (Lag 4),14625.0,16819.497614376,6.810407063766354
2,Random Forest Growth,7839.316045237103,9977.970780667802,3.4286328777126105
2,HistGradientBoosting Growth,8800.452821694436,10878.210085290671,3.856743185250893
2,Seasonal Naive (Lag 4),9520.0,11691.834757641762,4.218662563744716
3,Random Forest Growth,7747.702673141476,9576.001235513007,2.854118310409904
3,HistGradientBoosting Growth,7043.008086016365,8835.917986311073,2.6159606074075636
3,Seasonal Naive (Lag 4),15415.0,17662.941431143343,5.6888228973283885
4,Random Forest Growth,7769.748942174117,10319.830002084964,2.355844474433951
4,HistGradientBoosting Growth,7835.4400324331245,9971.453864783825,2.381107769393916
4,Seasonal Naive (Lag 4),14700.0,18014.91049103492,4.4126711248367
5,Random Forest Growth,9890.05129036273,12192.91146486609,2.360107763387938
5,HistGradientBoosting Growth,13407.36368060908,15695.503504705961,3.2047074799271686
5,Seasonal Naive (Lag 4),23345.0,33866.79051814624,5.566953880192275
