Date,Year,Quarter,Time_Index,Price_Lag_1,Price_Lag_4,Rolling_Mean_4,Median_Price
1964-01-01,1964,1,4,18500.0,17800.0,18050.0,18500
1964-04-01,1964,2,5,18500.0,18000.0,18225.0,18900
1964-07-01,1964,3,6,18900.0,17900.0,18450.0,18900
1964-10-01,1964,4,7,18900.0,18500.0,18700.0,19400
1965-01-01,1965,1,8,19400.0,18500.0,18925.0,20200
1965-04-01,1965,2,9,20200.0,18900.0,19350.0,19800
1965-07-01,1965,3,10,19800.0,18900.0,19575.0,20200
1965-10-01,1965,4,11,20200.0,19400.0,19900.0,20300
1966-01-01,1966,1,12,20300.0,20200.0,20125.0,21000
1966-04-01,1966,2,13,21000.0,19800.0,20325.0,22100
1966-07-01,1966,3,14,22100.0,20200.0,20900.0,21500
1966-10-01,1966,4,15,21500.0,20300.0,21225.0,21400
1967-01-01,1967,1,16,21400.0,21000.0,21500.0,22300
1967-04-01,1967,2,17,22300.0,22100.0,21825.0,23300
1967-07-01,1967,3,18,23300.0,21500.0,22125.0,22500
1967-10-01,1967,4,19,22500.0,21400.0,22375.0,22900
1968-01-01,1968,1,20,22900.0,22300.0,22750.0,23900
1968-04-01,1968,2,21,23900.0,23300.0,23150.0,24900
1968-07-01,1968,3,22,24900.0,22500.0,23550.0,24800
1968-10-01,1968,4,23,24800.0,22900.0,24125.0,25600
1969-01-01,1969,1,24,25600.0,23900.0,24800.0,25700
1969-04-01,1969,2,25,25700.0,24900.0,25250.0,25900
1969-07-01,1969,3,26,25900.0,24800.0,25500.0,25900
1969-10-01,1969,4,27,25900.0,25600.0,25775.0,24900
1970-01-01,1970,1,28,24900.0,25700.0,25600.0,23900
1970-04-01,1970,2,29,23900.0,25900.0,25150.0,24400
1970-07-01,1970,3,30,24400.0,25900.0,24775.0,23000
1970-10-01,1970,4,31,23000.0,24900.0,24050.0,22600
1971-01-01,1971,1,32,22600.0,23900.0,23475.0,24300
1971-04-01,1971,2,33,24300.0,24400.0,23575.0,25800
1971-07-01,1971,3,34,25800.0,23000.0,23925.0,25300
1971-10-01,1971,4,35,25300.0,22600.0,24500.0,25500
1972-01-01,1972,1,36,25500.0,24300.0,25225.0,26200
1972-04-01,1972,2,37,26200.0,25800.0,25700.0,26800
1972-07-01,1972,3,38,26800.0,25300.0,25950.0,27900
1972-10-01,1972,4,39,27900.0,25500.0,26600.0,29200
1973-01-01,1973,1,40,29200.0,26200.0,27525.0,30200
1973-04-01,1973,2,41,30200.0,26800.0,28525.0,32700
1973-07-01,1973,3,42,32700.0,27900.0,30000.0,33500
1973-10-01,1973,4,43,33500.0,29200.0,31400.0,34000
1974-01-01,1974,1,44,34000.0,30200.0,32600.0,35200
1974-04-01,1974,2,45,35200.0,32700.0,33850.0,35600
1974-07-01,1974,3,46,35600.0,33500.0,34575.0,36200
1974-10-01,1974,4,47,36200.0,34000.0,35250.0,37200
1975-01-01,1975,1,48,37200.0,35200.0,36050.0,38100
1975-04-01,1975,2,49,38100.0,35600.0,36775.0,39000
1975-07-01,1975,3,50,39000.0,36200.0,37625.0,38800
1975-10-01,1975,4,51,38800.0,37200.0,38275.0,41200
1976-01-01,1976,1,52,41200.0,38100.0,39275.0,42800
1976-04-01,1976,2,53,42800.0,39000.0,40450.0,44200
1976-07-01,1976,3,54,44200.0,38800.0,41750.0,44400
1976-10-01,1976,4,55,44400.0,41200.0,43150.0,45500
1977-01-01,1977,1,56,45500.0,42800.0,44225.0,46300
1977-04-01,1977,2,57,46300.0,44200.0,45100.0,48900
1977-07-01,1977,3,58,48900.0,44400.0,46275.0,48800
1977-10-01,1977,4,59,48800.0,45500.0,47375.0,51600
1978-01-01,1978,1,60,51600.0,46300.0,48900.0,53000
1978-04-01,1978,2,61,53000.0,48900.0,50575.0,55300
1978-07-01,1978,3,62,55300.0,48800.0,52175.0,56100
1978-10-01,1978,4,63,56100.0,51600.0,54000.0,59000
1979-01-01,1979,1,64,59000.0,53000.0,55850.0,60600
1979-04-01,1979,2,65,60600.0,55300.0,57750.0,63100
1979-07-01,1979,3,66,63100.0,56100.0,59700.0,64700
1979-10-01,1979,4,67,64700.0,59000.0,61850.0,62600
1980-01-01,1980,1,68,62600.0,60600.0,62750.0,63700
1980-04-01,1980,2,69,63700.0,63100.0,63525.0,64000
1980-07-01,1980,3,70,64000.0,64700.0,63750.0,64900
1980-10-01,1980,4,71,64900.0,62600.0,63800.0,66400
1981-01-01,1981,1,72,66400.0,63700.0,64750.0,66800
1981-04-01,1981,2,73,66800.0,64000.0,65525.0,69400
1981-07-01,1981,3,74,69400.0,64900.0,66875.0,69200
1981-10-01,1981,4,75,69200.0,66400.0,67950.0,70400
1982-01-01,1982,1,76,70400.0,66800.0,68950.0,66400
1982-04-01,1982,2,77,66400.0,69400.0,68850.0,69600
1982-07-01,1982,3,78,69600.0,69200.0,68900.0,69300
1982-10-01,1982,4,79,69300.0,70400.0,68925.0,71600
1983-01-01,1983,1,80,71600.0,66400.0,69225.0,73300
1983-04-01,1983,2,81,73300.0,69600.0,70950.0,74900
1983-07-01,1983,3,82,74900.0,69300.0,72275.0,77400
1983-10-01,1983,4,83,77400.0,71600.0,74300.0,75900
1984-01-01,1984,1,84,75900.0,73300.0,75375.0,78200
